2016-09-07 Citizens Bank Park, Philadelphia, PA - /gig:2016-09-07-citizens-bank-park-philadelphia-pa
2016-07-31 Letzigrund, Zurich, Switzerland - /gig:2016-07-31-letzigrund-zurich-switzerland
2016-07-16 Circus Maximus, Rome, Italy - /gig:2016-07-16-circus-maximus-rome-italy
2016-07-13 AccorHotels Arena, Paris, France - /gig:2016-07-13-accorhotels-arena-paris-france
2016-07-11 AccorHotels Arena, Paris, France - /gig:2016-07-11-accorhotels-arena-paris-france
2016-07-09 Festivalpark, Werchter, Belgium - /gig:2016-07-09-festivalpark-werchter-belgium
2016-07-05 Stadio Giuseppe Meazza, Milan, Italy - /gig:2016-07-05-stadio-giuseppe-meazza-milan-italy
2016-07-03 Stadio Giuseppe Meazza, Milan, Italy - /gig:2016-07-03-stadio-giuseppe-meazza-milan-italy
2016-06-19 Olympiastadion, Berlin, Germany - /gig:2016-06-19-olympiastadion-berlin-germany
2016-06-17 Olympiastadion, Munich, Germany - /gig:2016-06-17-olympiastadion-munich-germany
2016-05-19 Bela Vista Park, Lisbon, Portugal - /gig:2016-05-19-bela-vista-park-lisbon-portugal
2016-01-16 Consol Energy Center, Pittsburgh, PA - /gig:2016-01-16-consol-energy-center-pittsburgh-pa
2015-12-19 Rockefeller Center, GE Building, Studio 8H, New York City, NY - /gig:2015-12-19-rockefeller-center-new-york-city-ny
2015-11-18 Shrine Auditorium, Los Angeles, CA - /gig:2015-11-18-shrine-auditorium-los-angeles-ca
2015-11-10 Theater At Madison Square Garden (The), New York City, NY - /gig:2015-11-10-theater-at-msg-new-york-city-ny
2015-08-06 NEP Studio 52, New York City, NY - /gig:2015-08-06-nep-studio-52-new-york-city-ny
2015-07-31 Madison Square Garden, New York City, NY - /gig:2015-07-31-madison-square-garden-new-york-city-ny
2015-07-18 Wonder Bar, Asbury Park, NJ - /gig:2015-07-18-wonder-bar-asbury-park-nj
2015-01-17 Paramount Theatre, Asbury Park, NJ - /gig:2015-01-17-paramount-theatre-asbury-park-nj
2014-12-07 John F. Kennedy Center For The Performing Arts, Washington, DC - /gig:2014-12-07-kennedy-center-washington-dc
2014-12-01 Duffy Square At Times Square, New York City, NY - /gig:2014-12-01-duffy-square-new-york-city-ny
2014-11-11 National Mall, Washington, DC - /gig:2014-11-11-national-mall-washington-dc
2014-11-05 Theater At Madison Square Garden (The), New York City, NY - /gig:2014-11-05-theater-at-msg-new-york-city-ny
2014-05-29 Bela Vista Park, Lisbon, Portugal - /gig:2014-05-29-bela-vista-park-lisbon-portugal
2014-05-23 Soldiers & Sailors Memorial Hall & Museum, Pittsburgh, PA - /gig:2014-05-23-soldiers-sailors-hall-pittsburgh-pa
2014-05-22 Soldiers & Sailors Memorial Hall & Museum, Pittsburgh, PA - /gig:2014-05-22-soldiers-sailors-hall-pittsburgh-pa
2014-05-18 Mohegan Sun Arena, Uncasville, CT - /gig:2014-05-18-mohegan-sun-arena-uncasville-ct
2014-05-17 Mohegan Sun Arena, Uncasville, CT - /gig:2014-05-17-mohegan-sun-arena-uncasville-ct
2014-05-13 Times Union Center, Albany, NY - /gig:2014-05-13-times-union-center-albany-ny
2014-05-03 New Orleans Fairgrounds, New Orleans, LA - /gig:2014-05-03-fairgrounds-new-orleans-la
2014-04-15 Nationwide Arena, Columbus, OH - /gig:2014-04-15-nationwide-arena-columbus-oh
2014-04-12 Farm Bureau Live At Virginia Beach, Virginia Beach, VA - /gig:2014-04-12-farm-bureau-live-virginia-beach-va
2014-04-10 Barclays Center, Brooklyn, NY - /gig:2014-04-10-barclays-center-brooklyn-ny
2014-04-08 U.S. Bank Arena, Cincinnati, OH - /gig:2014-04-08-u-s-bank-arena-cincinnati-oh
2014-04-06 Reunion Arena, Old Site, Dallas, TX - /gig:2014-04-06-reunion-arena-dallas-tx
