band_id,band_url,band_name,num_performances
229,/relation:temple-of-soul,Temple Of Soul,2
230,/relation:the-temptations,The Temptations,1
231,/relation:the-terrorists-of-love,The Terrorists Of Love,1
232,/relation:tim-mcloone-the-shirleys,Tim McLoone & The Shirleys,3
233,/relation:timepiece,Timepiece,2
234,/relation:tom-petty-the-heartbreakers,Tom Petty & The Heartbreakers,2
235,/relation:tone,Tone,1
236,/relation:tony-toni-tone,Tony! Toni! Toné!,1
237,/relation:the-trews,The Trews,1
238,/relation:the-tunnel-of-love-horns,The Tunnel Of Love Horns,0
239,/relation:u2,U2,6
240,/relation:usa-for-africa,USA For Africa,0
241,/relation:unione-musicisti-di-roma,Unione Musicisti Di Roma,0
242,/relation:the-unreal-gods,The Unreal Gods,1
243,/relation:via-afrika,Via Afrika,0
244,/relation:victorious-gospel-choir,Victorious Gospel Choir,3
245,/relation:the-wallflowers,The Wallflowers,2
246,/relation:the-waters,The Waters,0
247,/relation:the-who,The Who,2
248,/relation:the-world-s-most-dangerous-band,The World's Most Dangerous Band,7
249,/relation:x-men,X-Men,1
250,/relation:zz-top,ZZ Top,1
251,/relation:zac-brown-band,Zac Brown Band,2
252,/relation:the-zoomettes,The Zoomettes,2
