artwork_id,artwork_url,artwork_name,date
320,19751101_2.htm,Santa Barbara (Version 2),1975-11-01
321,19751106.htm,Phoenix - 1975,1975-11-06
322,19751106_2.htm,I WAS A THRILLER (Version 2),1975-11-06
323,19751109.htm,and Jack Knife cried,1975-11-09
324,19751109_2.htm,and Jack Knife cried (Version 2),1975-11-09
325,19751109_3.htm,One thousand and one American nights (Version 3),1975-11-09
326,19751109_4.htm,Running dry (Version 4),1975-11-09
327,19751110.htm,"Tampa, Florida",1975-11-10
328,19751110_2.htm,One thousand and one American nights nov. 10.1975 (Version 2),1975-11-10
329,19751110_3.htm,"Tampa november 10, 1975(John Tsalikes Recording) (Version 3)",1975-11-10
330,19751111.htm,Miami - 1975,1975-11-11
331,19751118.htm,Hammersmith Odeon - 1975,1975-11-18
332,19751118_2.htm,Hammersmith 75 (DVD) (Version 2),1975-11-18
333,19751118_3.htm,"Hammersmith Odeon, London 18-11-1975 (Version 3)",1975-11-18
334,19751119.htm,"Hammersmith Odeon, London 19-11-1975",1975-11-19
335,19751121.htm,Konserthuset Show,1975-11-21
336,19751121_2.htm,Live At The KonsertHuset (Version 2),1975-11-21
337,19751121_4.htm,"Koncerthuset, Stockholm '75 (Version 4)",1975-11-21
338,19751121_5.htm,Stockholm 21 november 1975 (Version 5),1975-11-21
339,19751121_6.htm,"Konserthuset Show, Stockholm (Version 6)",1975-11-21
340,19751123.htm,Lost in the Flood,1975-11-23
341,19751123_2.htm,Lost In The Flood (Version 2),1975-11-23
342,19751123_3.htm,Somewhere in the red light district (Version 3),1975-11-23
343,19751123_4.htm,RAI Amsterdam (24bit-96Hz) (Version 4),1975-11-23
344,19751124.htm,London calling,1975-11-24
345,19751124_2.htm,Shit Hot & Rockin'  (Version 2),1975-11-24
346,19751124_3.htm,Hammersmith (Ed Sciaky) (Version 3),1975-11-24
347,19751124_4.htm,Finally London is ready for Bruce Springsteen & The E Street Band (Version 4),1975-11-24
348,19751124_5.htm,Hammersmith Odeon 2nd. night (Version 5),1975-11-24
349,19751124_6.htm,Odeon Hammersmith (Version 6),1975-11-24
350,19751202.htm,"Boston Music Hall, 02.12.75",1975-12-02
351,19751202_2.htm,Party Lights (Version 2),1975-12-02
352,19751202_3.htm,PARTY LIGHTS (Version 3),1975-12-02
353,19751202_4.htm,Party Lights (JEMS) (Version 4),1975-12-02
354,19751203.htm,"Boston Music Hall, 03.12.75",1975-12-03
355,19751205.htm,Georgetown is rockin` Tonight,1975-12-05
356,19751206.htm,Georgetown University - 06.12.1975,1975-12-06
357,19751209.htm,Austin 1975,1975-12-09
358,19751211.htm,Live at Seton Hall,1975-12-11
